Time, Size, Iters, Loop_iters
0,2,8,2
0,2,8,2
29.8611,3,8,3
0.515276,15,67108864,3
0.536735,15,1048576,3
7.13889,15,8,3
367.642,15,8,3
7246.81,15,8,3
6516.23,15,8,3
5993.39,15,8,3
9.30556,15,8,3
1.45372,15,32768,3
12.5241,15,32768,3
15.9766,15,32768,3
12.7498,15,32768,3
12.8563,15,32768,3
16.0543,15,32768,3
2.64193,15,1024,3
2.68989,15,1024,3
2.6352,15,1024,3
2.62543,15,1024,3
2.64062,15,1024,3
2.63867,15,1024,3
2.63001,15,1024,3
2.62695,15,1024,3
2.64106,15,1024,3
2.57174,100,1024,3
2.58792,100,1024,3
2.59919,100,1024,3
2.58539,100,1024,3
3.26738,100,4096,3
5.41238,100,8192,3
4.2308,100,16384,3
7.43918,100,32768,3
13.7956,100,65536,3
14.7875,100,65536,3
14.6641,100,65536,3
26.0022,100,131072,3
25.8848,100,131072,3
47.2188,100,262144,3
3.72569e-05,100,262144,3
1.92006e-05,100,262144,3
3.29336e-05,100,262144,3
3.21706e-05,100,262144,3
3.26792e-05,100,262144,3
0.991667,100,8,3
1.14167,100,8,3
1.05,100,8,3
1,100,8,3
0.970833,100,8,3
3.1,100,8,3
3.05417,100,8,3
3.075,100,8,3
3.0625,100,8,3
0.877021,100,1048576,3
0.878505,100,1048576,3
0.886557,100,1048576,3
3.56038e-06,100,1048576,3
3.84649e-06,100,1048576,3
3.56038e-06,100,1048576,3
3.24249e-06,100,1048576,3
3.2107e-06,100,1048576,3
3.49681e-06,100,1048576,3
3.11534e-06,100,1048576,3
1.10417,100,8,3
1.0625,100,8,3
0.9875,100,8,3
1,100,8,3
1.02083,100,8,3
0.991667,100,8,3
1.025,100,8,3
1.2375,100,8,3
3.11534e-06,100,1048576,3
2.06667,100,8,3
2.075,100,8,3
0.0070638,100,1024,3
0.0070638,100,1024,3
3.14713e-06,100,1048576,3
641.181,100,1024,3
644.262,100,1024,3
183.48,100,1024,3
124.977,100,1024,3
10.4913,100,1024,3
10.5515,100,1024,3
10.5079,100,1024,3
10.6237,100,1024,3
10.5086,100,1024,3
4.87304,100,1048576,3
1.17342,100,1048576,3
2.9625,100,8,3
2.99167,100,8,3
3.0875,100,8,3
3.00417,100,8,3
9.61667,100,8,3
9.50417,100,8,3
6.74334,100,1048576,3
6.71995,100,1048576,3
13.774,100,1024,3
